--330hg-Ocw, 30.000, 40.000, "/m/02mk9,/m/07yv9,/m/0k4j,/t/dd00066,/t/dd00130"
--65x-naOz0, 30.000, 40.000, "/t/dd00066"
--aVt0_KbIs, 30.000, 40.000, "/m/02mk9,/m/07pb8fc,/m/07yv9,/t/dd00066"
--jGnLqFsQ4, 24.000, 34.000, "/m/02mk9,/m/07pb8fc,/m/07q2z82,/m/07yv9,/m/0k4j,/t/dd00066"
--kcclzNEZQ, 30.000, 40.000, "/m/02mk9,/m/07pb8fc,/m/09x0r,/t/dd00066"
-0J9HfwJ08c, 30.000, 40.000, "/m/02mk9,/m/07pb8fc,/m/07yv9,/t/dd00066"
-0JqTq_4jaE, 40.000, 50.000, "/m/07r04,/m/07yv9,/t/dd00066"
-1O8bucXb5E, 30.000, 40.000, "/m/02mk9,/m/07pb8fc,/m/07q2z82,/m/07yv9,/t/dd00066"
-1guPbH2s3Y, 27.000, 37.000, "/m/02mk9,/m/07pb8fc,/t/dd00066,/t/dd00130"
-1nEEX8uOD8, 4.000, 14.000, "/m/07pb8fc,/m/07yv9,/t/dd00066"
-2GC25ao1Og, 30.000, 40.000, "/m/02mk9,/m/07yv9,/t/dd00066"
-2v9WVGdBb0, 16.000, 26.000, "/m/02mk9,/m/07pb8fc,/m/07yv9,/t/dd00066"
-2vScbsCNYA, 30.000, 40.000, "/m/02mk9,/m/07pb8fc,/m/07q2z82,/m/07yv9,/t/dd00066"
-37slAvDsE8, 30.000, 40.000, "/m/02mk9,/m/07pb8fc,/m/07q2z82,/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00066"
-3OLyc_NtJY, 7.000, 17.000, "/m/02mk9,/t/dd00066"
-3_Z64k3tXE, 19.000, 29.000, "/m/02mk9,/m/04rlf,/m/07pb8fc,/m/07q2z82,/t/dd00066"
-3d2F1GLG3w, 30.000, 40.000, "/m/02mk9,/m/07q2z82,/m/07yv9,/m/0k4j,/t/dd00066"
-3uQEoPHwq0, 30.000, 40.000, "/m/02mk9,/m/07pb8fc,/t/dd00066"
-45cKZA7Jww, 30.000, 40.000, "/m/012ndj,/m/03j1ly,/m/07q2z82,/m/07r04,/m/07yv9,/m/09x0r,/t/dd00066"
-4Y-xf4Dm3I, 30.000, 40.000, "/m/02mk9,/m/07pb8fc,/t/dd00066,/t/dd00067"
-4YIeHfuJrU, 30.000, 40.000, "/m/02mk9,/m/07pb8fc,/m/09x0r,/t/dd00066"
-50jQAjJC9A, 15.000, 25.000, "/m/07pb8fc,/m/07yv9,/m/09x0r,/t/dd00066,/t/dd00130"
-57EP-Yyt4s, 18.000, 28.000, "/m/07q2z82,/m/07r04,/m/07yv9,/t/dd00066"
-57qvJzYipc, 30.000, 40.000, "/m/02mk9,/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00066"
-5GhyWiIDEE, 14.000, 24.000, "/m/02mk9,/m/07pb8fc,/m/07yv9,/m/0k4j,/t/dd00066"
-5qL0txemrw, 30.000, 40.000, "/m/02mk9,/m/07yv9,/t/dd00066"
-5upZpZmlr0, 19.000, 29.000, "/m/02mk9,/m/07pb8fc,/m/07yv9,/t/dd00066"
